IF.PC	ID.PC	EX.PC
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0000 0100	0000 0000 0000	0000 0000 0000
0000 0000 1000	0000 0000 0100	0000 0000 0000
0000 0000 1100	0000 0000 1000	0000 0000 0100
0000 0001 0000	0000 0000 1100	0000 0000 1000
0000 0001 0000	0000 0000 1100	0000 0000 0000
0000 0001 0100	0000 0001 0000	0000 0000 1100
0000 0001 1000	0000 0001 0100	0000 0001 0000
0000 0001 1000	0000 0001 0100	0000 0000 0000
0000 0001 1100	0000 0001 1000	0000 0001 0100
0000 0010 0000	0000 0001 1100	0000 0001 1000
0000 0010 0000	0000 0001 1100	0000 0000 0000
0000 0010 0000	0000 0001 1100	0000 0001 1100
